9.8814,9.8793,9.8809,9.8757,9.8786
9.8678,9.8762,9.8909,9.8782,9.8816
9.8945,9.915,9.8911,9.89,9.8893
9.9646,9.9222,9.9028,9.903,9.8882
9.8703,9.8723,9.8781,9.8842,9.8777
9.9268,9.9193,9.8966,9.9072,9.8897
9.8714,9.8708,9.8688,9.8683,9.8695
9.8784,9.8775,9.884,9.8837,9.8821
9.8905,9.8746,9.8824,9.8861,9.8883
9.868,9.8769,9.8889,9.8945,9.8843
9.934,9.9198,9.9035,9.894,9.89
9.8764,9.8772,9.8925,9.8899,9.8913
9.8683,9.8965,9.8958,9.8961,9.8934
9.9284,9.9209,9.8891,9.8902,9.8881
9.929,9.9431,9.9352,9.9232,9.9114
9.8978,9.886,9.8803,9.8822,9.8824
9.8702,9.873,9.8751,9.8768,9.8731
9.8824,9.8933,9.9,9.9039,9.8879
9.9182,9.9017,9.8872,9.8993,9.8858
9.8724,9.8805,9.8798,9.8893,9.8919
9.8914,9.8884,9.8836,9.8829,9.8715
9.8794,9.8943,9.8764,9.8799,9.8877
9.8992,9.8771,9.8886,9.8904,9.8841
10.015,9.9129,9.883,9.8799,9.8807
9.8776,9.8746,9.871,9.8806,9.8772
9.8703,9.8899,9.8905,9.8885,9.8834
9.8894,9.9138,9.9017,9.8914,9.8883
9.9017,9.8745,9.8707,9.8807,9.8816
9.9239,9.9105,9.9026,9.9059,9.8979
9.8784,9.8951,9.9047,9.8983,9.9053
9.9101,9.9005,9.8899,9.8863,9.8887
9.8754,9.8712,9.873,9.8749,9.8744
9.8829,9.8955,9.888,9.8787,9.8748
9.8994,9.8822,9.8806,9.8727,9.8772
9.8832,9.8831,9.891,9.8877,9.8783
9.8776,9.8697,9.8705,9.8739,9.8825
9.8996,9.8968,9.9081,9.9029,9.8932
9.8801,9.8809,9.8745,9.873,9.878
9.9191,9.908,9.8984,9.8922,9.8882
9.8802,9.8707,9.8744,9.8711,9.8698
9.8738,9.867,9.8672,9.8677,9.8684
9.8771,9.8734,9.8701,9.8779,9.8742
9.8778,9.8738,9.8804,9.8788,9.8799
9.9116,9.8921,9.8845,9.8833,9.8862
9.9043,9.8897,9.8951,9.896,9.8916
9.9429,9.9049,9.9018,9.9012,9.8909
9.8899,9.8818,9.8774,9.8781,9.8833
9.8758,9.8915,9.9054,9.8908,9.8838
9.8851,9.8714,9.8694,9.8686,9.8702
9.924,9.9144,9.9054,9.8956,9.8872
9.9521,9.8959,9.8829,9.8787,9.8779
9.9169,9.9143,9.9007,9.9067,9.8982
9.8769,9.8807,9.8856,9.8869,9.8848
9.9475,9.9121,9.8957,9.9018,9.9029
9.8791,9.8901,9.8841,9.8868,9.8809
9.9122,9.9161,9.8919,9.8973,9.8934
9.9017,9.8813,9.8754,9.8706,9.871
9.9013,9.8801,9.8838,9.8773,9.8822
9.8967,9.8901,9.8801,9.8757,9.8762
9.8708,9.8759,9.8804,9.8747,9.8813
9.9043,9.8815,9.8844,9.8803,9.8807
9.869,9.8787,9.8956,9.8898,9.8842
9.8977,9.8817,9.8754,9.8713,9.8687
9.9273,9.9299,9.9055,9.8925,9.8839
9.9385,9.8957,9.8881,9.8928,9.8983
9.9218,9.9135,9.9032,9.9056,9.9023
9.8865,9.8973,9.8795,9.8799,9.8747
9.8836,9.8689,9.8768,9.8785,9.8758
9.8837,9.8773,9.8803,9.8782,9.8772
9.901,9.8843,9.879,9.8691,9.8682
9.8912,9.8715,9.8731,9.8739,9.8744
9.8728,9.8793,9.8739,9.8818,9.8794
9.9207,9.8936,9.8746,9.8765,9.8777
9.9415,9.9322,9.92,9.9035,9.8936
9.9601,9.896,9.8939,9.8831,9.8914
9.9094,9.87,9.875,9.8744,9.8724
9.9095,9.931,9.9062,9.8926,9.8862
9.9061,9.8938,9.8785,9.8755,9.881
9.8774,9.8799,9.885,9.8896,9.8973
9.8833,9.8827,9.8843,9.8752,9.8776
9.9009,9.8986,9.9031,9.8922,9.8867
9.8735,9.875,9.8711,9.8706,9.8701
9.949,9.9148,9.9017,9.8919,9.8905
9.8766,9.8892,9.8717,9.8774,9.8805
9.8678,9.8798,9.8846,9.8733,9.8724
9.9031,9.8753,9.8807,9.8825,9.8837
9.8828,9.8928,9.9161,9.8938,9.8912
9.8921,9.8986,9.8907,9.8768,9.8777
9.8841,9.8791,9.8871,9.9055,9.8975
9.8765,9.8776,9.8801,9.8899,9.8868
9.883,9.8859,9.8831,9.8845,9.8808
9.907,9.8938,9.8855,9.8878,9.8864
9.8781,9.883,9.8773,9.8785,9.8864
9.8684,9.8745,9.8761,9.8783,9.8806
9.8745,9.8797,9.8842,9.877,9.8796
9.8819,9.8703,9.8808,9.8868,9.8773
9.91,9.9109,9.8922,9.8796,9.8766
9.901,9.8709,9.8737,9.8767,9.8766
9.9127,9.9078,9.8975,9.8986,9.9023
9.8957,9.883,9.889,9.887,9.8756
